ID | Start Time | End Time | User ID | Duration |
1 | 31.05.2016 07:15:56 | 31.05.2016 07:16:32 | mbramar | 0 |
2 | 31.05.2016 07:16:32 | 31.05.2016 07:17:03 | mbramar | 0 |
3 | 31.05.2016 07:17:03 | 31.05.2016 07:17:05 | mbramar | 0 |
4 | 31.05.2016 07:17:05 | 31.05.2016 07:17:24 | mbramar | 0 |
5 | 31.05.2016 07:17:24 | 31.05.2016 11:25:05 | mbramar | 7 |
6 | 31.05.2016 11:25:05 | 31.05.2016 11:26:40 | mbramar | 1 |
7 | 31.05.2016 11:26:40 | 31.05.2016 11:27:21 | mbramar | 0 |
8 | 31.05.2016 11:27:21 | 31.05.2016 11:27:52 | mbramar | 0 |
9 | 31.05.2016 11:27:52 | 31.05.2016 11:27:54 | mbramar | 0 |
10 | 31.05.2016 11:27:54 | 31.05.2016 11:28:08 | mbramar | 0 |
11 | 31.05.2016 11:28:08 | 31.05.2016 12:25:01 | mbramar | 56 |
12 | 31.05.2016 12:25:01 | 31.05.2016 12:25:12 | mbramar | 0 |
13 | 31.05.2016 12:25:12 | 31.05.2016 12:25:54 | mbramar | 0 |
14 | 31.05.2016 12:25:54 | 31.05.2016 12:26:25 | mbramar | 0 |
15 | 31.05.2016 12:26:25 | 31.05.2016 12:26:27 | mbramar | 0 |
16 | 31.05.2016 12:26:27 | 31.05.2016 12:26:50 | mbramar | 0 |
17 | 31.05.2016 12:26:50 | 31.05.2016 13:30:04 | mbramar | 3 |
18 | 31.05.2016 13:30:04 | 31.05.2016 13:30:15 | mbramar | 0 |
19 | 31.05.2016 13:30:15 | 31.05.2016 13:40:22 | mbramar | 10 |
20 | 31.05.2016 13:40:22 | 31.05.2016 13:40:42 | mbramar | 0 |
21 | 31.05.2016 13:40:42 | 31.05.2016 16:15:05 | mbramar | 34 |
22 | 31.05.2016 16:15:05 | 31.05.2016 16:16:09 | mbramar | 1 |
23 | 31.05.2016 16:16:09 | 31.05.2016 16:16:50 | mbramar | 0 |
24 | 31.05.2016 16:16:50 | 31.05.2016 16:17:21 | mbramar | 0 |
25 | 31.05.2016 16:17:21 | 31.05.2016 16:17:23 | mbramar | 0 |
26 | 31.05.2016 16:17:23 | 01.06.2016 07:15:00 | mbramar | 57 |
27 | 01.06.2016 07:15:00 | 01.06.2016 07:15:50 | mbramar | 0 |
28 | 01.06.2016 07:15:50 | 01.06.2016 07:16:32 | mbramar | 0 |
29 | 01.06.2016 07:16:32 | 01.06.2016 07:17:15 | mbramar | 0 |
30 | 01.06.2016 07:17:15 | 01.06.2016 07:17:17 | mbramar | 0 |
31 | 01.06.2016 07:17:17 | 01.06.2016 07:17:36 | mbramar | 0 |
32 | 01.06.2016 07:17:36 | 01.06.2016 09:45:04 | mbramar | 27 |
33 | 01.06.2016 09:45:04 | 01.06.2016 09:45:15 | mbramar | 0 |
34 | 01.06.2016 09:45:15 | 01.06.2016 12:00:05 | mbramar | 14 |
35 | 01.06.2016 12:00:05 | 01.06.2016 12:00:41 | mbramar | 0 |
36 | 01.06.2016 12:00:41 | 01.06.2016 15:00:05 | mbramar | 59 |
37 | 01.06.2016 15:00:05 | 01.06.2016 15:00:24 | mbramar | 0 |
38 | 01.06.2016 15:00:24 | 01.06.2016 15:01:06 | mbramar | 0 |
39 | 01.06.2016 15:01:06 | 01.06.2016 15:01:08 | mbramar | 0 |
40 | 01.06.2016 15:01:08 | 01.06.2016 15:01:23 | mbramar | 0 |
41 | 01.06.2016 15:01:23 | 01.06.2016 15:30:16 | mbramar | 28 |
42 | 01.06.2016 15:30:16 | 01.06.2016 15:31:17 | mbramar | 1 |
43 | 01.06.2016 15:31:17 | 01.06.2016 15:31:58 | mbramar | 0 |
44 | 01.06.2016 15:31:58 | 01.06.2016 15:32:00 | mbramar | 0 |
45 | 01.06.2016 15:32:00 | 01.06.2016 15:32:23 | mbramar | 0 |
46 | 01.06.2016 15:32:23 | 01.06.2016 17:00:05 | mbramar | 27 |
47 | 01.06.2016 17:00:05 | 01.06.2016 17:01:30 | mbramar | 1 |
48 | 01.06.2016 17:01:30 | 01.06.2016 17:02:01 | mbramar | 0 |
49 | 01.06.2016 17:02:01 | 01.06.2016 17:02:32 | mbramar | 0 |
50 | 01.06.2016 17:02:32 | 01.06.2016 17:02:34 | mbramar | 0 |
51 | 01.06.2016 17:02:34 | 02.06.2016 07:15:00 | mbramar | 12 |
52 | 02.06.2016 07:15:00 | 02.06.2016 07:15:54 | mbramar | 0 |
53 | 02.06.2016 07:15:54 | 02.06.2016 07:16:33 | mbramar | 0 |
54 | 02.06.2016 07:16:33 | 02.06.2016 07:17:04 | mbramar | 0 |
55 | 02.06.2016 07:17:04 | 02.06.2016 07:17:06 | mbramar | 0 |
56 | 02.06.2016 07:17:06 | 02.06.2016 07:17:25 | mbramar | 0 |
57 | 02.06.2016 07:17:25 | 02.06.2016 08:15:05 | mbramar | 57 |
58 | 02.06.2016 08:15:05 | 02.06.2016 08:15:24 | mbramar | 0 |
59 | 02.06.2016 08:15:24 | 02.06.2016 08:15:57 | mbramar | 0 |
60 | 02.06.2016 08:15:57 | 02.06.2016 08:16:28 | mbramar | 0 |
61 | 02.06.2016 08:16:28 | 02.06.2016 08:16:30 | mbramar | 0 |
62 | 02.06.2016 08:16:30 | 02.06.2016 08:16:37 | mbramar | 0 |
63 | 02.06.2016 08:16:37 | 02.06.2016 08:30:01 | mbramar | 13 |
64 | 02.06.2016 08:30:01 | 02.06.2016 08:31:28 | mbramar | 1 |
65 | 02.06.2016 08:31:28 | 02.06.2016 08:32:09 | mbramar | 0 |
66 | 02.06.2016 08:32:09 | 02.06.2016 08:32:40 | mbramar | 0 |
67 | 02.06.2016 08:32:40 | 02.06.2016 08:32:42 | mbramar | 0 |
68 | 02.06.2016 08:32:42 | 02.06.2016 08:33:01 | mbramar | 0 |
69 | 02.06.2016 08:33:01 | 02.06.2016 11:55:05 | mbramar | 22 |
70 | 02.06.2016 11:55:05 | 02.06.2016 11:55:24 | mbramar | 0 |
71 | 02.06.2016 11:55:24 | 02.06.2016 11:56:06 | mbramar | 0 |
72 | 02.06.2016 11:56:06 | 02.06.2016 11:56:37 | mbramar | 0 |
73 | 02.06.2016 11:56:37 | 02.06.2016 11:56:39 | mbramar | 0 |
74 | 02.06.2016 11:56:39 | 02.06.2016 11:56:54 | mbramar | 0 |
75 | 02.06.2016 11:56:54 | 02.06.2016 12:55:01 | mbramar | 58 |
76 | 02.06.2016 12:55:01 | 02.06.2016 12:55:36 | mbramar | 0 |
77 | 02.06.2016 12:55:36 | 02.06.2016 12:56:17 | mbramar | 0 |
78 | 02.06.2016 12:56:17 | 02.06.2016 12:57:00 | mbramar | 0 |
79 | 02.06.2016 12:57:00 | 02.06.2016 12:57:02 | mbramar | 0 |
80 | 02.06.2016 12:57:02 | 02.06.2016 12:57:21 | mbramar | 0 |
81 | 02.06.2016 12:57:21 | 02.06.2016 16:30:05 | mbramar | 32 |
82 | 02.06.2016 16:30:05 | 02.06.2016 16:31:09 | mbramar | 1 |
83 | 02.06.2016 16:31:09 | 02.06.2016 16:31:50 | mbramar | 0 |
84 | 02.06.2016 16:31:50 | 02.06.2016 16:32:21 | mbramar | 0 |
85 | 02.06.2016 16:32:21 | 02.06.2016 16:32:23 | mbramar | 0 |
86 | 02.06.2016 16:32:23 | 03.06.2016 07:15:00 | mbramar | 42 |
87 | 03.06.2016 07:15:00 | 03.06.2016 07:15:53 | mbramar | 0 |
88 | 03.06.2016 07:15:53 | 03.06.2016 07:16:34 | mbramar | 0 |
89 | 03.06.2016 07:16:34 | 03.06.2016 07:17:17 | mbramar | 0 |
90 | 03.06.2016 07:17:17 | 03.06.2016 07:17:19 | mbramar | 0 |
91 | 03.06.2016 07:17:19 | 03.06.2016 07:17:34 | mbramar | 0 |
92 | 03.06.2016 07:17:34 | 03.06.2016 08:15:05 | mbramar | 57 |
93 | 03.06.2016 08:15:05 | 03.06.2016 08:15:24 | mbramar | 0 |
94 | 03.06.2016 08:15:24 | 03.06.2016 08:16:06 | mbramar | 0 |
95 | 03.06.2016 08:16:06 | 03.06.2016 08:16:37 | mbramar | 0 |
96 | 03.06.2016 08:16:37 | 03.06.2016 08:16:39 | mbramar | 0 |
97 | 03.06.2016 08:16:39 | 03.06.2016 08:30:39 | mbramar | 14 |
98 | 03.06.2016 08:30:39 | 03.06.2016 08:45:01 | mbramar | 14 |
99 | 03.06.2016 08:45:01 | 03.06.2016 08:46:34 | mbramar | 1 |
100 | 03.06.2016 08:46:34 | 03.06.2016 08:47:15 | mbramar | 0 |
